ID,x,y,r,brightness,ID
297,24,36,20,260.65544729849427,
298,442,570,20,208.57395925597874,
299,1326,122,20,177.20106288751106,
300,1262,374,20,165.54472984942427,
301,136,778,19,153.3201189296333,
302,264,614,19,282.22001982160555,
303,496,798,19,2555.5203171456888,
304,624,370,19,130.8424182358771,P.ae
305,1142,258,19,191.75421209117937,
306,490,282,19,339.3855302279485,
307,158,982,18,208.05771365149835,
308,246,516,18,164.55049944506104,
309,246,480,18,195.1609322974473,
310,286,854,18,177.29189789123197,
311,286,662,18,159.88901220865705,
312,482,918,18,181.33185349611543,
313,540,260,18,144.8168701442841,
314,618,442,18,136.73695893451722,
315,1146,894,18,153.2075471698113,
316,18,136,17,161.43036386449185,
317,622,504,16,135.45839210155148,
318,1302,274,16,7821.63610719323,E.co
319,506,682,21,513.2219570405728,
320,1296,368,21,7404.295942720764,
321,216,326,20,177.4490699734278,
322,270,300,20,144.46412754650135,
323,980,226,20,9035.022143489814,
324,1050,40,20,520.1948627103632,
325,1058,170,20,247.51107174490699,
326,1312,238,20,346.7139061116032,
327,32,402,19,149.1575817641229,
328,394,726,19,275.9762140733399,
329,674,450,19,277.50247770069376,
330,882,558,19,220.61446977205154,
331,28,640,18,154.91675915649282,
332,134,642,18,140.9322974472808,
333,228,730,18,230.2774694783574,
334,298,360,18,152.58601553829078,
335,304,522,18,143.2630410654828,
336,330,434,18,167.65815760266372,
337,398,54,18,138.13540510543842,
338,896,778,18,147.9245283018868,
339,954,462,18,185.0610432852386,
340,332,1020,18,182.2641509433962,
341,48,558,17,169.51066499372646,
342,70,828,17,267.52823086574654,
343,320,980,17,230.99121706398992,
344,14,482,17,228.9936305732484,
345,290,928,21,381.24105011933176,
346,450,186,21,252.49005568814638,
347,146,538,20,139.37998228520814,
348,476,842,20,384.03897254207266,
349,824,378,20,153.2683790965456,
350,212,490,19,168.7215064420218,
351,298,892,19,132.64618434093163,
352,538,748,19,327.0366699702676,
353,274,90,18,139.84461709211988,
354,306,292,18,193.60710321864593,
355,458,352,18,135.80466148723642,
356,1010,354,18,187.70255271920087,
357,82,978,16,171.39633286318758,
358,850,246,20,140.86802480070858,
359,1342,640,20,147.4402125775022,
360,126,694,19,212.01189296333004,
361,886,650,19,274.31119920713576,
362,1016,146,19,147.63131813676907,
363,62,28,18,163.15205327413986,
364,100,800,18,241.46503884572695,
365,430,500,18,201.842397336293,
366,502,762,18,282.7968923418424,
367,730,642,18,183.19644839067703,
368,894,360,18,215.51609322974474,
369,944,68,18,8954.250832408436,E.co
370,1258,150,18,171.23196448390678,
371,260,224,18,106.43729189789123,
372,368,890,17,166.70012547051442,
373,670,86,17,198.14303638644915,
374,1342,340,17,8303.036386449185,
375,66,642,17,137.89209535759096,
376,112,400,16,132.1015514809591,
377,682,20,16,154.21720733427364,
378,648,426,21,152.4741447891806,
379,1086,306,20,173.48095659875997,
380,1248,646,20,111.10717449069973,
381,1142,330,19,216.59068384539148,
382,144,944,18,148.07991120976692,
383,380,664,18,365.46059933407327,
384,572,766,18,175.73806881243064,
385,686,630,18,144.3507214206437,
386,834,342,18,148.07991120976692,P.ae
387,1104,728,18,194.3840177580466,
388,246,422,16,182.8490832157969,
389,838,706,16,157.77150916784203,
390,82,460,20,126.35961027457927,
391,178,522,20,159.46855624446414,
392,468,772,20,9553.356953055803,
393,1266,262,20,178.81310894596987,
394,870,112,19,152.4876114965312,
395,180,194,19,150.12884043607534,
396,60,792,18,306.4150943396226,
397,146,496,18,158.49056603773585,
398,148,300,18,247.83573806881242,
399,622,714,18,237.42508324084352,
400,918,28,18,205.8823529411765,
401,326,690,18,453.25194228634854,
402,324,942,17,180.75282308657464,
403,846,508,16,9596.417489421721,E.co
404,186,948,21,284.00954653937947,
405,590,690,19,180.65411298315163,
406,1030,110,18,137.82463928967815,
407,36,70,17,161.78168130489334,
408,1062,130,16,141.57968970380819,
409,1182,172,16,136.64315937940762,
410,60,866,20,172.98494242692647,
411,606,830,20,309.2648361381754,
412,980,490,20,148.18423383525246,
413,274,578,18,185.0610432852386,
414,332,250,18,167.81354051054385,
415,856,1004,18,251.56492785793563,
416,900,78,18,220.33296337402885,
417,1186,134,18,155.3829078801332,P.ae
418,1074,342,18,166.57047724750277,
419,516,718,17,9833.726474278543,E.co
420,222,934,21,8870.898965791568,
